,emitterName,latentVector,completionPercentage,jumpActionsPerformed,killsTotal,livesLeft,coinsCollected,remainingTime (20-timeSpent),calc_higher_level_non_empty_blocks,calc_num_enemies
11,CMA-ME,"[-0.11198258  0.22501545 -0.05117371 -0.02725779  0.33878515 -0.09474058
  0.29407131  0.05047683 -0.27479977 -0.23539539  0.24439882 -0.01671337
  0.25999778  0.19165327 -0.02115162  0.10091614 -0.00170181 -0.04590952
  0.07570296  0.2674485   0.06860045 -0.16331735  0.06523069 -0.13987748
  0.30561169 -0.11644872  0.02462082 -0.33470778 -0.08332341 -0.16675486
  0.23376283 -0.33731925]",0,0,0,0,0,0,0.0,0.0
12,CMA-ME,"[ 0.16770267  0.08188748 -0.0373905   0.37736849 -0.12239907 -0.25623869
 -0.09989794  0.01934107  0.08406882 -0.00128745  0.03069698  0.19241243
 -0.07176209 -0.1215529  -0.01007474  0.01328408  0.31511506 -0.06421422
 -0.18600521  0.13574512 -0.21288699  0.43287947 -0.36971869  0.23487964
 -0.44718739  0.05738228  0.18540625  0.1916174   0.08812178 -0.03762735
 -0.09020718 -0.01233775]",0,0,0,0,0,0,0.0,0.0
13,CMA-ME,"[ 0.16921612 -0.10359741  0.11662808  0.26912441  0.0760592  -0.01502689
 -0.33355009 -0.14407935  0.27533428  0.19900816  0.20900368  0.00285439
 -0.20106253  0.11261888 -0.00893958  0.29823382 -0.20190763  0.22714464
  0.22510564 -0.0405724  -0.19994637 -0.04429503 -0.04071344  0.13561508
 -0.16736782  0.09399459  0.18465268  0.04594645  0.25890685 -0.10118478
 -0.02043066  0.03134852]",0,0,0,0,0,0,0.0,0.0
14,CMA-ME,"[ 0.00501821  0.49891983  0.00167945  0.01646087  0.09075972  0.13251473
  0.27900837  0.27047488  0.22002138 -0.18445602 -0.17804439  0.35411322
 -0.23043594 -0.29257722 -0.13043119  0.11188584 -0.01331237 -0.08812147
 -0.02012451  0.31266611  0.14305885 -0.22536179  0.05311651  0.15374323
 -0.12661476  0.45294632 -0.54412408 -0.01479335  0.01229368  0.27446847
 -0.58394223 -0.2502437 ]",0,0,0,0,0,0,0.0,0.0
15,CMA-ME,"[ 0.12406911  0.09525013  0.29220204  0.09357569  0.17352151 -0.42800604
 -0.17240546 -0.09544276 -0.29248425  0.1660636   0.11092063  0.1069466
 -0.09877055  0.03490233 -0.00218243 -0.20783381 -0.11997396  0.01986116
  0.20980057  0.13147189  0.37646693 -0.24445541  0.19314939  0.52286952
 -0.06217883  0.25405227 -0.14748898  0.400747    0.40156192 -0.20340673
 -0.13271031 -0.07444938]",0,0,0,0,0,0,0.0,0.0
16,CMA-ME,"[ 0.39260678 -0.02227753 -0.19918092 -0.11390595  0.25967735  0.07034505
  0.03092177  0.27352939 -0.34246203 -0.25033659 -0.1131925   0.1835117
  0.01826547 -0.34398057 -0.05263522  0.06586634  0.17852759  0.16941748
  0.14559211 -0.29445063 -0.18899188  0.04395525  0.0364655   0.05870874
  0.28014443  0.08303123 -0.38256039  0.05700978  0.20731346 -0.02820757
  0.57964699 -0.04196242]",0,0,0,0,0,0,0.0,0.0
17,CMA-ME,"[ 0.18192511  0.08884783  0.06443786  0.41162503 -0.071974    0.23495025
  0.15894242 -0.00175352 -0.21705288  0.5884553  -0.30706802  0.09503188
 -0.17572666 -0.14867589  0.00548025 -0.3189612  -0.20504885 -0.07032556
  0.17733959  0.39009971  0.12889993 -0.07222269  0.09152003 -0.1420019
  0.40163915  0.28005806  0.12893486  0.44174662  0.18900277 -0.11597889
  0.19146977  0.19082971]",0,0,0,0,0,0,0.0,0.0
18,CMA-ME,"[ 0.06552025 -0.14391527  0.31090814  0.20937238 -0.0093917   0.03031597
 -0.06629613 -0.01317415  0.09245537 -0.00063792 -0.09263441  0.24232669
 -0.10127619  0.07836979 -0.48211902 -0.1498595   0.04574094 -0.14841193
  0.06272323 -0.19983332  0.31641093  0.45076223 -0.27571675 -0.1602148
  0.09931898 -0.02646343 -0.1360061   0.03202371  0.04822517  0.02469949
 -0.37060734  0.08988702]",0,0,0,0,0,0,0.0,0.0
19,CMA-ME,"[ 0.08547922  0.28799085 -0.05458433  0.01451529  0.31932392 -0.08065038
 -0.13119732  0.00241733  0.2591379  -0.30302957 -0.01301951  0.16317718
  0.07214234  0.46912217  0.05654439 -0.0181837   0.13597909  0.20422019
 -0.02358254  0.07498579  0.12242974 -0.16114041 -0.35726112  0.189401
 -0.20013393  0.37803045  0.13806559  0.27715575 -0.1776334   0.07056374
 -0.10717121  0.04911887]",0,0,0,0,0,0,0.0,0.0
20,CMA-ME,"[ 0.23717593 -0.08056335 -0.03952562  0.00511643  0.08493121 -0.11266343
 -0.24126294  0.09074855  0.07183536  0.05308608 -0.12820912  0.05858373
  0.07228123  0.30127842  0.09240617 -0.1394884   0.04721431 -0.08489179
  0.01447987  0.10082057  0.01743752  0.22212002 -0.10669244  0.05601959
 -0.21373535  0.19544744 -0.1952699  -0.34031098  0.08257569 -0.11872929
 -0.21121031  0.4294971 ]",0,0,0,0,0,0,0.0,0.0
21,CMA-ME,"[-0.12943348 -0.11410859  0.25369989 -0.35939233  0.04519577 -0.07084249
 -0.08038799  0.32825334  0.1447011   0.01544954  0.15369445  0.1748187
 -0.1875462   0.12991298  0.03363647  0.33740252  0.11550587  0.19015889
 -0.17149433 -0.12622253  0.11937032  0.01251179 -0.06623237 -0.2708243
 -0.0871995   0.09801866  0.13647032  0.28282234  0.25158827 -0.14935532
 -0.09993181  0.16686545]",0,0,0,0,0,0,0.0,0.0
22,CMA-ME,"[ 0.02329015  0.03059609  0.20392061 -0.10665788  0.05666462 -0.05496044
 -0.20660631 -0.05699241 -0.01193117 -0.01394753 -0.03536345  0.06810882
  0.12358112 -0.1974641  -0.01844159 -0.12542027  0.03054422 -0.15599416
 -0.13761248 -0.30627408  0.08160647  0.05679102 -0.07292482  0.06619321
 -0.11367866  0.09261869 -0.22609507 -0.37159826  0.01687292 -0.36400972
 -0.05796075  0.01303022]",0,0,0,0,0,0,0.0,0.0
